"name","tile_tooltip","url","tags","remote_img","bg_color","img"
"smwrQW","Water quality USGS water science R functions.","https://github.com/USGS-R/smwrQW","rstats","https://owi.usgs.gov/R/img/usgs-r-logo.png","#198CE7","static/logos/smwrQW.svg"
"r-raster-vector-geospatial","Introduction to Geospatial Raster and Vector Data with R.","https://github.com/datacarpentry/r-raster-vector-geospatial","rstats",NA,"#198CE7","static/logos/r-raster-vector-geospatial.svg"
