"Package","Author","Title","URL","tags","bg_color"
"research_computing",NA,"Website for Research Computing in Earth Sciences","https://github.com/rabernat/research_computing","Jupyter Notebook","#DA5B0B"
"nhdplusTools",NA,"NHDPlus Tools","https://github.com/dblodgett-usgs/nhdplusTools","R","#198CE7"
"GrainSizeTools",NA,"A Python script for estimating grain size, grain size populations, and differential stress via piezometers from thin sections","https://github.com/marcoalopez/GrainSizeTools","Python","#3572A5"
"glmtools",NA,"Tools for interacting with the General Lake Model (GLM) in R","https://github.com/USGS-R/glmtools","R","#198CE7"
"r-socialsci",NA,"Lesson on R for social scientists.","https://github.com/datacarpentry/r-socialsci","Python","#3572A5"
"HydroData",NA,"An R 📦 for finding and getting geospatial earth systems data","https://github.com/mikejohnson51/HydroData","R","#198CE7"
"OpenRefine-ecology-lesson",NA,"Lesson on OpenRefine for ecology.","https://github.com/datacarpentry/OpenRefine-ecology-lesson","Python","#3572A5"
"rr-automation",NA,"Resources for automation tutorials","https://github.com/datacarpentry/rr-automation","HTML","#e34c26"
"rnassqs",NA,"R interface for the NASS QUICK STATS API","https://github.com/potterzot/rnassqs","R","#198CE7"
"python-socialsci",NA,"Lesson on Python for social scientists.","https://github.com/datacarpentry/python-socialsci","Python","#3572A5"
"spatialEco",NA,"R package for spatial analysis and modelling of ecological systems","https://github.com/jeffreyevans/spatialEco","R","#198CE7"
"organization-geospatial",NA,"Introduction to Geospatial Concepts","https://github.com/datacarpentry/organization-geospatial","HTML","#e34c26"
"rr-intro",NA,"Introduction materials for Reproducible Research Curriculum","https://github.com/datacarpentry/rr-intro","HTML","#e34c26"
"rr-version-control",NA,"Reproducible Science Curriculum Lesson for Version Control","https://github.com/datacarpentry/rr-version-control","HTML","#e34c26"
"rr-literate-programming",NA,"Repository for lesson materials on Literate Programming","https://github.com/datacarpentry/rr-literate-programming","HTML","#e34c26"
"hydrolinks",NA,"National Hydrography Network Dataset Tools for R","https://github.com/lawinslow/hydrolinks","R","#198CE7"
"countdeps",NA,"R package for identifying project dependencies","https://github.com/slopp/countdeps","R","#198CE7"
"cdlTools",NA,"A set of tools for fetching and using the Cropscape Data Layer in R","https://github.com/jlisic/cdlTools","R","#198CE7"
"openrefine-socialsci",NA,"Lesson on OpenRefine for social scientists.","https://github.com/datacarpentry/openrefine-socialsci","Python","#3572A5"
"rcanvec",NA,"Access and plot CanVec and CanVec+ data for rapid basemap creation in Canada","https://github.com/paleolimbot/rcanvec","R","#198CE7"
"spreadsheets-socialsci",NA,"Lesson on spreadsheets for social scientists.","https://github.com/datacarpentry/spreadsheets-socialsci","Python","#3572A5"
"sql-socialsci",NA,"Lesson on SQL for social scientists.","https://github.com/datacarpentry/sql-socialsci","Python","#3572A5"
"cloud-genomics",NA,"Cloud Genomics lesson","https://github.com/datacarpentry/cloud-genomics","HTML","#e34c26"
"rr-workshop",NA,"Workshop and lesson templates","https://github.com/datacarpentry/rr-workshop","Python","#3572A5"
"socialsci-workshop",NA,"Workshop for social scientists.","https://github.com/datacarpentry/socialsci-workshop","Python","#3572A5"
"rr-publication",NA,"Reproducible Science Curriculum Lesson for Publication","https://github.com/datacarpentry/rr-publication","HTML","#e34c26"
"template",NA,"Article template (latex and metadata)","https://github.com/rescience-c/template","TeX","#3D6117"
"python-ecology-lesson-es",NA,"Este repositorio contiene material para enseñar la lección de Data Carpentry con Python usando datos de ecología.","https://github.com/datacarpentry/python-ecology-lesson-es","Jupyter Notebook","#DA5B0B"
"LAGOS_Lake_Link",NA,"Crosswalk table linking LAGOS lake identifiers to other data products","https://github.com/cont-limno/LAGOS_Lake_Link",NA,NA
